serve?,signal,name,locality,city,kind,pincode,source,licence,fact:Towers or blocks,fact:Approximate homes,fact:Builder,fact:Possession year,fact:Typical flat sizes,fact:Helper entry process,fact:Helper ID card issued by,fact:Service lift for helpers
y,,Sector 42-43,golf-course-road,gurgaon,metro-station,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,N/A (Metro Station),N/A,Rapid Metro Gurgaon / HMRTC,2017,N/A,N/A (Public Transit),N/A,N/A
y,,Sector 53-54,golf-course-road,gurgaon,metro-station,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,N/A (Metro Station),N/A,Rapid Metro Gurgaon / HMRTC,2017,N/A,N/A (Public Transit),N/A,N/A
y,,The Belaire,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,5 towers,580 flats,DLF,2013,"4 BHK, 2,858–4,098 sq ft",Security app (MyGate) gate pass & guard check,DLF Belaire Condominium Association,Yes
y,,The Icon,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,5 towers,about 360 flats,DLF,2009,"3 and 4 BHK, 2,277–2,800 sq ft",Security app approval & biometric entry gate,DLF The Icon Condominium Association,Yes
y,,The Magnolias,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,19 towers (5 building clusters),about 590 flats,DLF,2012,"4 and 5 BHK, 6,360–10,400 sq ft",High-security biometric / RFID card entry & resident clearance,The Magnolias Estate Management,Yes
y,,The Pinnacle,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,288 flats,DLF,2008,"4 BHK, 3,868–4,000 sq ft",Security app (MyGate) pass & entry register,The Pinnacle Condominium Association,Yes
y,,The Summit,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,3 towers,240 flats,DLF,2010,"4 BHK, 2,950–3,500 sq ft",Security app approval & guard pass,The Summit Condominium RWA,Yes
y,,Trinity Towers,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,3 towers,about 230 flats,DLF,2006,"3 and 4 BHK, 2,210–2,779 sq ft",Security app approval & gate register,Trinity Towers Condominium RWA,Yes
y,,Wellington Estate,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,6 towers,about 550 flats,DLF,2004,"3 and 4 BHK, 1,330–1,740 sq ft",Security app (MyGate) approval & guard register,Wellington Estate Condominium RWA,Yes
y,,West End Heights,golf-course-road,gurgaon,society,122002,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,5 towers,about 370 flats,DLF,2007,"4 BHK, 2,500–2,700 sq ft",Security app approval & gate pass,West End Heights Condominium RWA,Yes
y,,Aabhas Society,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,5 towers,120 flats,Aabhas CGHS,2003,"3 and 4 BHK, 2,250–2,750 sq ft",Guard register entry & resident phone confirmation,Aabhas CGHS RWA,Yes
y,,Arihant Society,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,2 blocks,40 flats,Arihant CGHS,2001,"3 BHK, 1,550–1,850 sq ft",Gate register entry & resident verification,Arihant CGHS RWA,No
y,,Ashoka Apartment,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,120 flats,Ashoka CGHS,2002,"3 and 4 BHK, 1,400–2,000 sq ft",Main gate entry register & resident intercom check,Ashoka Apartment RWA,Yes
y,,Devender Vihar,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,18 towers,750 flats,Army Welfare Housing Organisation (AWHO),1998–2000,"2, 3 and 4 BHK, 1,200–2,100 sq ft",Guard gate check & resident approval pass,AWHO Devinder Vihar Society Office,Yes
y,,HEWO-2 Apartments,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,10 towers,about 280 flats,Haryana Employees Welfare Organisation (HEWO),2002,"2 and 3 BHK, 1,200–1,430 sq ft",Gate entry register & resident verification,HEWO-2 Apartments RWA,Yes
y,,Jal Vayu Towers,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,8 towers,about 540 flats,AFNHB,2003,"2 and 3 BHK, about 800–1,800 sq ft",Security gate check & helper pass registration,AFNHB Jal Vayu Towers Society Office,Yes
y,,JNU Aravali Apartments,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,2 blocks,50 flats,JNU Teachers CGHS,2002,"2 and 3 BHK, about 1,000–1,700 sq ft",Gate register entry & resident phone confirmation,JNU Aravali CGHS RWA,No
y,,Joy Kunj Apartment,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,2 towers,about 60 flats,Joy Kunj CGHS,2002,"3 BHK, 1,650–1,900 sq ft",Gate register entry & resident verification,Joy Kunj CGHS RWA,Yes
y,,Judge Enclave,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,2 towers,about 60 flats,Judicial Officers CGHS,2003,"3 and 4 BHK, 1,800–2,400 sq ft",Guarded gate register entry & intercom confirmation,Judge Enclave CGHS RWA,Yes
y,,Kendriya Vihar,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,28 blocks,"1,940 flats",CGEWHO,2000–2002,"1, 2 and 3 BHK, about 600–2,100 sq ft",Security barrier pass & resident register entry,Kendriya Vihar Society Office,No
y,,Prerana C.G.H.S LTD,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,2 towers,48 flats,Prerana CGHS,2002,"3 BHK + study, about 1,700–2,000 sq ft",Gate register entry & resident phone verification,Prerana CGHS RWA,Yes
y,,Rail Vihar,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,35 blocks,about 350 flats,IRWO,1998,"2 and 3 BHK, 950–1,450 sq ft",Guard post entry register & resident approval,Rail Vihar Society Office,No
y,,Sanskriti Apartments,sector-56,gurgaon,society,122011,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,1 tower,22 flats,Sanskriti CGHS,2001,"3 BHK, about 1,750 sq ft",Guard register entry & intercom check,Sanskriti CGHS RWA,No
y,,Aaronville,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Villa community,about 100 villas,SS Group,2012,"3 and 4 BHK villas, 2,500–3,600 sq ft",Security app approval & main gate check-in,Aaronville RWA,No
y,,C Block,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Block C,about 350 plots / floors,Private / Township developers,2005–2010,"3 and 4 BHK builder floors, 1,500–3,000 sq ft",Colony security barrier check,Block C RWA,No
y,,Eldeco Mansionz,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Gated villa enclave,about 150 villas,Eldeco,2008,"3, 4 and 5 BHK villas, 1,707–3,150 sq ft",Main gate security pass & resident app approval,Eldeco Mansionz RWA,No
y,,Greenville,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,8 towers,about 450 flats,Parsvnath,2009,"2 and 3 BHK, 1,495–2,080 sq ft",Security app (MyGate) approval & guard register,Parsvnath Greenville RWA,Yes
y,,Parkview City I,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,10 towers,about 550 flats,Bestech,2007,"2, 3 and 4 BHK, 1,776–2,567 sq ft",Security app approval & biometric gate entry,Bestech Park View City 1 RWA,Yes
y,,Parkview City II,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,8 towers,about 430 flats,Bestech,2008,"3 and 4 BHK, 1,859–2,383 sq ft",Security app approval & visitor pass at gate,Bestech Park View City 2 RWA,Yes
y,,Primanti,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,11 towers plus villas,"about 1,100 homes",Tata Housing,2017,"3 and 4 BHK flats, 2,550–3,850 sq ft",Security app (MyGate) pass & biometric card entry,Tata Primanti Estate Management,Yes
y,,Silver Crest,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Villa enclave,about 30 villas,Ashiana Homes,2005,"3 BHK villas, about 2,520 sq ft",Guarded gate entry & resident verification,Silver Crest RWA,No
y,,South End,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Plotted enclave,about 600 homes,Uppal Group,2004,"3 and 4 BHK independent floors, 1,550–2,700 sq ft",Colony gate security barrier check,Uppal South End RWA,No
y,,Spaze Privy,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,11 towers,about 560 flats,Spaze,2012,"2, 3 and 4 BHK, 1,600–2,650 sq ft",Security app pass & gate register,Spaze Privy RWA,Yes
y,,Tatvam Villas,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Villa enclave,about 250 villas,Vipul,2015,"3, 4 and 5 BHK villas, 3,000–7,650 sq ft",Guarded gate check-in & resident approval pass,Tatvam Villas RWA,No
y,,Technica Cyber Park,sohna-road,gurgaon,commercial,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,2 towers,N/A (Commercial IT Park),Technica Group,2011,N/A (Commercial Office Space),N/A (Commercial Security Check),Building Management Office,Yes
y,,Tower B1-4,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,about 240 flats,Bestech / Vatika,2010,"3 and 4 BHK, 1,800–2,500 sq ft",Security app approval & guard register,Society RWA,Yes
y,,Vatika City,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,19 towers,"about 1,350 flats",Vatika,2012,"2, 3 and 4 BHK flats, duplexes and penthouses",Security app (MyGate) approval & RFID / gate pass,Vatika City Estate Management,Yes
y,,Vipul Greens,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,24 towers,about 640 flats,Vipul,2010,"3 and 4 BHK flats and penthouses, 1,860–3,387 sq ft",Security app approval & guard entry register,Vipul Greens Condominium RWA,Yes
y,,Vipul World,sohna-road,gurgaon,society,122102,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Township blocks,about 800 plots,Vipul,2008,"3 and 4 BHK independent floors, 1,469–3,240 sq ft",Township entry barrier check,Vipul World RWA,No
y,,Central Park II,south-city-2,gurgaon,society,122018,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,11 towers,"about 1,400 flats",Central Park,2014,"2, 3 and 4 BHK, 1,495–4,615 sq ft",Security app pass & biometric gate clearance,Central Park Resorts Management,Yes
y,,EWS Society,south-city-2,gurgaon,society,122018,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 blocks,about 200 flats,Unitech,2008,"1 BHK, 400–600 sq ft",Open entry / Guard check,Local RWA,No
y,,Orchid Petals,south-city-2,gurgaon,society,122018,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,27 towers,"about 1,350 flats",Orchid Infrastructure Developers,2007,"3 and 4 BHK, 1,805–3,550 sq ft",Security app approval & biometric gate entry,Orchid Petals Condominium RWA,Yes
y,,Sispal Vihar,south-city-2,gurgaon,society,122018,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,17 towers,"about 1,130 flats",AWHO,2003,"2, 3 and 4 BHK, from 1,295 sq ft",Security barrier pass & visitor register,AWHO Sispal Vihar Society Office,Yes
y,,South City II,south-city-2,gurgaon,society,122018,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Blocks A–F,"about 2,500 homes",Unitech,2003–2008,"3 and 4 BHK builder floors & villas, 1,800–4,500 sq ft",Sector gate security check,South City II RWA,No
y,,Tikri,south-city-2,gurgaon,society,122018,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Village settlement,"about 1,500 homes",Private / Self-built,Traditional / 1990s onward,"1, 2 and 3 BHK independent floors / rooms",Open entry,None,No
y,,Vipul Greens,south-city-2,gurgaon,society,122018,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,24 towers,about 640 flats,Vipul,2010,"3 and 4 BHK flats and penthouses, 1,860–3,387 sq ft",Security app approval & guard entry register,Vipul Greens Condominium RWA,Yes
y,,Purvanchal Royal Park,sector-137,noida,society,201305,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,16 towers,"about 1,150 flats",Purvanchal,2014,"3 and 4 BHK, 1,315–2,955 sq ft",Security app (MyGate) approval & guard pass,Purvanchal Royal Park AOA,Yes
y,,Crescent A Tower,sector-50,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Tower A (The Crescent),about 32 flats,Swaraj Homes / Crescent CGHS,2004,"2, 3 and 4 BHK, 1,100–1,930 sq ft",Security app approval & gate register,The Crescent RWA,Yes
y,,Crescent B tower,sector-50,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Tower B (The Crescent),about 32 flats,Swaraj Homes / Crescent CGHS,2004,"2, 3 and 4 BHK, 1,100–1,930 sq ft",Security app approval & gate register,The Crescent RWA,Yes
y,,Crescent C tower,sector-50,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Tower C (The Crescent),about 32 flats,Swaraj Homes / Crescent CGHS,2004,"2, 3 and 4 BHK, 1,100–1,930 sq ft",Security app approval & gate register,The Crescent RWA,Yes
y,,Crescent D Tower,sector-50,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Tower D (The Crescent),about 34 flats,Swaraj Homes / Crescent CGHS,2004,"2, 3 and 4 BHK, 1,100–1,930 sq ft",Security app approval & gate register,The Crescent RWA,Yes
y,,Kailash Dham,sector-50,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,about 400 flats,"Purvanchal, for Kailash Dham Sahkari Awas Samiti",2004,"2, 3 and 4 BHK, 1,060–2,100 sq ft",Gate entry pass & resident intercom verification,Kailash Dham RWA,Yes
y,,Morna,sector-50,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Village settlement,"about 1,200 homes",Private / Self-built,Traditional / 1990s onward,"1, 2 and 3 BHK independent floors / rooms",Open entry,None,No
y,,The Crescent,sector-50,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,about 130 flats,Swaraj Homes / Crescent CGHS,2004,"2, 3 and 4 BHK, 1,100–1,930 sq ft",Security app approval & gate register,The Crescent RWA,Yes
y,,Akansha Apartments,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,about 120 flats,Akansha CGHS,2002,"2 and 3 BHK, 1,300–1,775 sq ft",Gate register entry & resident phone verification,Akansha CGHS RWA,Yes
y,,Bhagirathi Apartments,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,about 156 flats,Bhagirathi CGHS,2001,"2 and 3 BHK, 1,120–1,600 sq ft",Gate register entry & resident verification,Bhagirathi CGHS RWA,Yes
y,,"Block A, Shramdeep Apartments",sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Block A,48 flats,Sampada Group,2002,"2 and 3 BHK, 980–1,400 sq ft",Gate register check & resident confirmation,Shramdeep CGHS RWA,Yes
y,,"Block B, Shramdeep apartments",sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,Block B,48 flats,Sampada Group,2002,"2 and 3 BHK, 980–1,400 sq ft",Gate register check & resident confirmation,Shramdeep CGHS RWA,Yes
y,,Designers Park Apartments,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,6 towers,about 204 flats,Designers Park CGHS,2003,"2, 3 and 4 BHK, 1,100–2,100 sq ft",Security app approval & guard register,Designers Park AOA,Yes
y,,Gail Apartments,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,5 towers,about 280 flats,GAIL Housing Society,2001,"2 and 3 BHK, 1,150–1,680 sq ft",Guarded gate register & resident approval,GAIL Apartments RWA,Yes
y,,Prangan Apartments,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,2 towers,about 72 flats,Prangan CGHS,2002,"2 and 3 BHK, 1,100–1,675 sq ft",Gate register entry & resident phone check,Prangan CGHS RWA,Yes
y,,Prithvi Vihar,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,3 towers,about 120 flats,Prithvi Vihar CGHS,2002,"2 and 3 BHK, 1,150–1,650 sq ft",Gate register check & resident verification,Prithvi Vihar RWA,Yes
y,,Shaurya Apartments,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,2 towers,about 84 flats,Metropark Developers,2003,"2 and 3 BHK, 1,100–1,800 sq ft",Main gate entry register & resident confirmation,Shaurya Apartments RWA,Yes
y,,Shramdeep Apartments,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,2 blocks,about 96 flats,Sampada Group,2002,"2 and 3 BHK, 980–1,400 sq ft",Gate register check & resident confirmation,Shramdeep CGHS RWA,Yes
y,,Srijan Apartments,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,3 towers,about 152 flats,Srijan CGHS,2002,"2 and 3 BHK, 1,200–1,560 sq ft",Gate register entry & resident phone check,Srijan CGHS RWA,Yes
y,,Telecom CIty,sector-62,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,4 towers,about 206 flats,Telecom Employees CGHS,2001,"2, 3 and 4 BHK, 1,000–1,925 sq ft",Gate register entry & resident verification,Telecom City RWA,Yes
y,,Antriksh Golf View 1,sector-76,noida,society,201301,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,15 towers,"about 1,600 flats",Antriksh,2016,"2, 3 and 4 BHK, 1,010–3,375 sq ft",Security app approval & guard pass,Antriksh Golf View 1 AOA,Yes
