city,type,target,url,contact,status,link_target,anchor_theme,notes,updated
gurgaon,Parenting blog,,,,prospect,https://mybuddymaid.in/gurgaon,domestic help in Gurgaon,the nanny and babysitter guides; a guest column on choosing child care,2026-09-14
gurgaon,Real-estate / moving blog,,,,prospect,https://mybuddymaid.in/gurgaon,domestic help in Gurgaon,"the city guide as the ""setting up your home"" resource",2026-09-14
gurgaon,Local press,,,,prospect,https://mybuddymaid.in/gurgaon,domestic help in Gurgaon,"the data story below, with the real price bands",2026-09-14
gurgaon,Forum / Q&A,,,,prospect,https://mybuddymaid.in/gurgaon,domestic help in Gurgaon,answer the actual question in full; link only when it genuinely helps; never anchor-text spam,2026-09-14
mumbai,RWA / housing society,,,,prospect,https://mybuddymaid.in/mumbai,domestic help in Mumbai,a vetted vendor listing for residents; offer the society a verified-helper briefing,2026-09-14
mumbai,Corporate HR / relocation,,,,prospect,https://mybuddymaid.in/mumbai,domestic help in Mumbai,"a domestic-help onboarding guide for relocating employees, hosted on their intranet or benefits page",2026-09-14
mumbai,Parenting blog,,,,prospect,https://mybuddymaid.in/mumbai,domestic help in Mumbai,the nanny and babysitter guides; a guest column on choosing child care,2026-09-14
mumbai,Real-estate / moving blog,,,,prospect,https://mybuddymaid.in/mumbai,domestic help in Mumbai,"the city guide as the ""setting up your home"" resource",2026-09-14
mumbai,Local press,,,,prospect,https://mybuddymaid.in/mumbai,domestic help in Mumbai,"the data story below, with the real price bands",2026-09-14
mumbai,Forum / Q&A,,,,prospect,https://mybuddymaid.in/mumbai,domestic help in Mumbai,answer the actual question in full; link only when it genuinely helps; never anchor-text spam,2026-09-14
pune,RWA / housing society,,,,prospect,https://mybuddymaid.in/pune,domestic help in Pune,a vetted vendor listing for residents; offer the society a verified-helper briefing,2026-09-14
pune,Corporate HR / relocation,,,,prospect,https://mybuddymaid.in/pune,domestic help in Pune,"a domestic-help onboarding guide for relocating employees, hosted on their intranet or benefits page",2026-09-14
pune,Parenting blog,,,,prospect,https://mybuddymaid.in/pune,domestic help in Pune,the nanny and babysitter guides; a guest column on choosing child care,2026-09-14
pune,Real-estate / moving blog,,,,prospect,https://mybuddymaid.in/pune,domestic help in Pune,"the city guide as the ""setting up your home"" resource",2026-09-14
pune,Local press,,,,prospect,https://mybuddymaid.in/pune,domestic help in Pune,"the data story below, with the real price bands",2026-09-14
pune,Forum / Q&A,,,,prospect,https://mybuddymaid.in/pune,domestic help in Pune,answer the actual question in full; link only when it genuinely helps; never anchor-text spam,2026-09-14
bangalore,RWA / housing society,,,,prospect,https://mybuddymaid.in/bangalore,domestic help in Bangalore,a vetted vendor listing for residents; offer the society a verified-helper briefing,2026-09-14
bangalore,Corporate HR / relocation,,,,prospect,https://mybuddymaid.in/bangalore,domestic help in Bangalore,"a domestic-help onboarding guide for relocating employees, hosted on their intranet or benefits page",2026-09-14
bangalore,Parenting blog,,,,prospect,https://mybuddymaid.in/bangalore,domestic help in Bangalore,the nanny and babysitter guides; a guest column on choosing child care,2026-09-14
bangalore,Real-estate / moving blog,,,,prospect,https://mybuddymaid.in/bangalore,domestic help in Bangalore,"the city guide as the ""setting up your home"" resource",2026-09-14
bangalore,Local press,,,,prospect,https://mybuddymaid.in/bangalore,domestic help in Bangalore,"the data story below, with the real price bands",2026-09-14
bangalore,Forum / Q&A,,,,prospect,https://mybuddymaid.in/bangalore,domestic help in Bangalore,answer the actual question in full; link only when it genuinely helps; never anchor-text spam,2026-09-14
